Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Business Description,Company Website,Started in,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Part of Match off,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Percentage,Royalty Recouped Amount,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ritesh Investment Amount,Ritesh Investment Equity,Ritesh Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present
2,Zillionaire,10,179,2-Jan-23,10-Mar-23,13-Jan-23,Zillionaire Banne Ki Chah,Rahul Dua,Beauty/Fashion,Unique styles of stones and jewels,https://zillionaireindia.com/,,2.0,2.0,,,0.0,Young,Jaipur,Rajasthan,100.0,,,,,,,,,,50.0,3.3,1515.151515,1,1.0,100.0,10.0,,,1000.0,1.0,,,,,,,,,,,100.0,10.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,Credmate,10,180,2-Jan-23,10-Mar-23,13-Jan-23,Zillionaire Banne Ki Chah,Rahul Dua,Technology/Software,Platform for credit score,https://credmate.in/,2020.0,2.0,2.0,,,0.0,Middle,Ludhiana,Punjab,,130.0,,,,,,,,,50.0,5.0,1000.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,Freebowler,10,181,2-Jan-23,10-Mar-23,13-Jan-23,Zillionaire Banne Ki Chah,Rahul Dua,Fitness/Sports/Outdoors,Non-Electric & Portable Bowling Machines,https://freebowler.com/,,2.0,2.0,,,0.0,Middle,Bangalore,Karnataka,,,,,,,,,,,75.0,7.5,1000.0,1,1.0,25.0,7.5,50.0,10.0,333.3333333,1.0,,,,,25.0,7.5,50.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,ABCSports&Fitness,11,182,2-Jan-23,10-Mar-23,16-Jan-23,Investing The Right Way,Rahul Dua,Fitness/Sports/Outdoors,Sports training institute,https://www.abcfitnessfirm.com/,,2.0,2.0,,,0.0,Middle,Pune,Maharashtra,,,,,,,,,,,40.0,2.0,2000.0,1,1.0,40.0,10.0,,,400.0,1.0,,,,,,,,,,,,,,,,,40.0,10.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,Primebook,11,183,2-Jan-23,10-Mar-23,16-Jan-23,Investing The Right Way,Rahul Dua,Technology/Software,Android Apps on Windows laptops,https://www.primebook.in/,,4.0,4.0,,,0.0,Middle,Delhi,Delhi,,,,,,,,,,,75.0,1.5,5000.0,1,1.0,75.0,3.0,,,2500.0,2.0,,,,,,,,,,,,,,37.5,1.5,,37.5,1.5,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,DailyDump,11,184,2-Jan-23,10-Mar-23,16-Jan-23,Investing The Right Way,Rahul Dua,Manufacturing,Compost Bins,https://www.dailydump.org/,2006.0,2.0,1.0,1.0,,0.0,Middle,Bangalore,Karnataka,,,,,,,,,,,80.0,4.0,2000.0,1,1.0,30.0,4.0,50.0,10.0,750.0,1.0,,,,,30.0,4.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,GharSoaps,12,185,2-Jan-23,10-Mar-23,17-Jan-23,Pitchers Ki Undying Spirit,Rahul Dua,Beauty/Fashion,Pure Organic Soaps,https://www.gharsoaps.shop/,,2.0,2.0,,,0.0,Middle,Pune,Maharashtra,,,,,,,,,,,60.0,2.0,3000.0,1,1.0,60.0,4.0,,,1500.0,1.0,,,,,,,,,,,,,,60.0,4.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,
2,Janitri,12,186,2-Jan-23,10-Mar-23,17-Jan-23,Pitchers Ki Undying Spirit,Rahul Dua,Medical/Health,Pregnancy Monitoring systems,https://www.janitri.in/,2021.0,1.0,1.0,,,0.0,Middle,Alwar,Rajasthan,,,,,,,,,,,100.0,2.5,4000.0,1,1.0,100.0,2.5,,,4000.0,1.0,,,,,100.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,
2,JaipurWatchCompany,12,187,2-Jan-23,10-Mar-23,17-Jan-23,Pitchers Ki Undying Spirit,Rahul Dua,Manufacturing,Made in India Imperial Automatic Watches,https://jaipur.watch/,,1.0,1.0,,,0.0,Middle,Jaipur,Rajasthan,,,75.0,,,,,,,,50.0,2.0,2500.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,
2,InsideFPV,13,188,2-Jan-23,10-Mar-23,18-Jan-23,Up And Coming Business Ideas,Rahul Dua,Manufacturing,Plug and Fly Drones,https://www.insidefpv.com/,,3.0,2.0,1.0,,0.0,Young,Surat,Gujarat,,,,,,,,,,,75.0,4.0,1875.0,1,1.0,75.0,15.0,,,500.0,4.0,,,,,18.75,3.75,,,,,,,,18.75,3.75,,18.75,3.75,,,,,18.75,3.75,,,,,,,1.0,,1.0,1.0,1.0,,1.0,
